
2024/10/05 (17:39:13) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/10/05 (17:39:13) | INFO: Running on /dev/pts/2
2024/10/05 (17:39:13) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/10/05 (17:39:13) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/10/05 (17:39:13) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2024/10/05 (17:39:13) | DEBUG: Shared::init() : Initialized.
2024/10/05 (17:39:13) | DEBUG: Loading theme file: /home/novo/.config/btop/themes/catppuccin_mocha.theme

2024/10/05 (21:04:27) | ===> btop++ v.1.4.0
2024/10/05 (21:04:27) | INFO: Logger set to DEBUG
2024/10/05 (21:04:27) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/10/05 (21:04:27) | INFO: Running on /dev/pts/3
2024/10/05 (21:04:27) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/10/05 (21:04:27) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/10/05 (21:04:27) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2024/10/05 (21:04:27) | DEBUG: Shared::init() : Initialized.
2024/10/05 (21:04:27) | DEBUG: Loading theme file: /home/novo/.config/btop/themes/catppuccin_mocha.theme

2024/10/10 (14:15:55) | ===> btop++ v.1.4.0
2024/10/10 (14:15:55) | INFO: Logger set to DEBUG
2024/10/10 (14:15:55) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/10/10 (14:15:55) | INFO: Running on /dev/pts/0
2024/10/10 (14:15:55) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/10/10 (14:15:55) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/10/10 (14:15:55) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2024/10/10 (14:15:55) | DEBUG: Shared::init() : Initialized.
2024/10/10 (14:15:55) | DEBUG: Loading theme file: /home/novo/.config/btop/themes/catppuccin_mocha.theme

2024/10/10 (14:45:24) | ===> btop++ v.1.4.0
2024/10/10 (14:45:24) | INFO: Logger set to DEBUG
2024/10/10 (14:45:24) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/10/10 (14:45:24) | INFO: Running on /dev/pts/1
2024/10/10 (14:45:24) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/10/10 (14:45:24) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/10/10 (14:45:24) | DEBUG: Failed to find Intel GPU sysfs path, Intel GPUs will not be detected
2024/10/10 (14:45:24) | DEBUG: Shared::init() : Initialized.
2024/10/10 (14:45:24) | DEBUG: Loading theme file: /home/novo/.config/btop/themes/catppuccin_mocha.theme
